ID,Date Customer,Birth Year,Generation,Age,Education,Marital Status,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat Products,Fish Products,Sweet Products,Gold Products,Total Spending,Web Visits,Web Purchases,Catalog Purchases,Store Purchases,Deals Purchases,Campaign 1,Campaign 2,Campaign 3,Campaign 4,Campaign 5,Complain,Response
2569,2012-10-10,1987,Millenials,25,Bachelor,Married,17323.0,0,0,38,3,14,17,6,1,5,46,8,1,0,3,1,0,0,0,0,0,0,0
2114,2012-11-24,1946,Baby Boomer,66,PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1315,3,7,6,12,1,1,0,0,0,1,0,1
9736,2012-12-24,1980,Gen X,32,Bachelor,Married,41850.0,1,1,51,53,5,19,2,13,4,96,8,3,0,3,3,0,0,0,0,0,0,0
4939,2012-08-31,1946,Baby Boomer,66,Bachelor,Together,37760.0,0,0,20,84,5,38,150,12,28,317,7,4,1,6,2,0,0,0,0,0,0,0
6565,2013-03-28,1949,Baby Boomer,64,Master,Married,76995.0,0,1,91,1012,80,498,0,16,176,1782,5,11,4,9,2,1,0,0,0,0,0,0
2278,2012-11-03,1985,Millenials,27,Master,Single,33812.0,1,0,86,4,17,19,30,24,39,133,6,2,1,3,2,0,0,0,0,0,0,0
9360,2012-08-08,1982,Millenials,30,Bachelor,Married,37040.0,0,0,41,86,2,73,69,38,48,316,8,4,2,5,1,0,0,0,0,0,0,0
5376,2013-01-06,1979,Gen X,34,Bachelor,Married,2447.0,1,0,42,1,1,1725,1,1,1,1730,1,0,28,0,15,0,0,0,0,0,0,0
1993,2012-12-23,1949,Baby Boomer,63,PhD,Married,58607.0,0,1,63,867,0,86,0,0,19,972,8,2,3,9,3,0,0,0,1,0,0,0
4047,2014-01-11,1954,Baby Boomer,60,PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,544,4,6,2,9,3,0,0,0,0,0,0,0
1409,2013-03-18,1951,Baby Boomer,62,Bachelor,Together,40689.0,0,1,69,270,3,27,39,6,99,444,8,7,1,5,7,0,0,0,0,0,0,0
7892,2013-01-02,1969,Gen X,44,Bachelor,Single,18589.0,0,0,89,6,4,25,15,12,13,75,7,2,1,3,2,0,0,0,0,0,0,0
2404,2013-05-27,1976,Gen X,37,Bachelor,Married,53359.0,1,1,4,173,4,30,3,6,41,257,7,5,1,4,4,0,0,0,0,0,0,0
9422,2013-05-31,1989,Millenials,24,Bachelor,Married,38360.0,1,0,26,36,2,42,20,21,10,131,3,2,1,4,2,0,0,0,0,0,0,0
1966,2013-11-22,1965,Gen X,48,PhD,Married,84618.0,0,0,96,684,100,801,21,66,0,1672,2,6,9,10,1,0,0,0,0,1,0,0
6864,2014-05-22,1989,Millenials,25,Master,Divorced,10979.0,0,0,34,8,4,10,2,2,4,30,5,3,0,3,2,0,0,0,0,0,0,0
3033,2013-05-11,1963,Baby Boomer,50,Master,Together,38620.0,0,0,56,112,17,44,34,22,89,318,3,2,5,3,1,0,0,0,0,0,0,0
5710,2012-10-10,1970,Gen X,42,Bachelor,Together,40548.0,0,1,31,110,0,5,2,0,3,120,5,2,1,4,2,0,0,0,1,0,0,0
7373,2012-10-29,1952,Baby Boomer,60,PhD,Divorced,46610.0,0,2,8,96,12,96,33,22,43,302,6,4,1,6,6,0,0,0,0,0,0,1
8755,2013-02-20,1946,Baby Boomer,67,Master,Married,68657.0,0,0,4,482,34,471,119,68,22,1196,7,3,5,9,1,0,0,0,0,0,0,0
10738,2013-08-29,1951,Baby Boomer,62,Master,Single,49389.0,1,1,55,40,0,19,2,1,3,65,7,2,0,3,1,0,0,0,0,0,0,0
4339,2013-12-31,1970,Gen X,43,PhD,Married,67353.0,0,1,37,702,17,151,0,8,35,913,2,5,6,12,5,0,0,0,0,0,0,0
10755,2013-09-02,1976,Gen X,37,Master,Married,23718.0,1,0,76,6,3,14,15,7,36,81,7,3,1,2,3,0,0,0,0,0,0,0
8595,2014-02-11,1973,Gen X,41,Bachelor,Widow,42429.0,0,1,99,55,0,6,2,0,4,67,5,1,1,3,2,0,0,0,0,0,0,0
2968,2013-02-01,1943,Silent Gen,70,PhD,Divorced,48948.0,0,0,53,437,8,206,160,49,42,902,6,7,10,5,2,0,0,1,0,0,0,1
8601,2013-04-29,1980,Gen X,33,Bachelor,Married,80011.0,0,1,3,421,76,536,82,178,102,1395,4,8,6,5,2,0,0,0,0,0,0,0
503,2013-03-12,1985,Millenials,28,Master,Married,20559.0,1,0,88,13,1,29,3,0,7,53,8,2,0,3,2,0,0,0,0,0,0,0
8430,2012-12-24,1957,Baby Boomer,55,Bachelor,Together,21994.0,0,1,4,9,0,6,3,1,3,22,5,0,0,3,1,0,0,0,0,0,0,0
2139,2013-10-02,1975,Gen X,38,Master,Married,7500.0,1,0,19,3,1,10,3,2,12,31,5,2,0,3,3,0,0,0,0,0,0,0
1371,2014-06-28,1976,Gen X,38,Bachelor,Single,79941.0,0,0,72,123,164,266,227,30,174,984,1,2,4,9,1,0,0,0,0,0,0,0
9909,2012-11-09,1996,Millenials,16,Master,Married,7500.0,0,0,24,3,18,14,15,22,50,122,9,3,1,3,3,0,0,0,0,0,0,1
7286,2013-05-24,1968,Gen X,45,Bachelor,Together,41728.0,1,0,92,13,6,15,3,5,13,55,10,2,0,2,1,0,0,0,0,0,0,0
6566,2012-11-08,1954,Baby Boomer,58,PhD,Married,72550.0,1,1,39,826,50,317,50,38,38,1319,8,5,2,12,9,0,0,0,0,0,0,0
8614,2014-05-12,1957,Baby Boomer,57,Bachelor,Widow,65486.0,0,1,29,245,19,125,37,67,14,507,2,4,2,10,1,0,0,0,0,0,0,0
4114,2012-08-11,1964,Baby Boomer,48,Master,Married,79143.0,0,0,2,650,37,780,27,167,32,1693,3,6,9,13,1,0,0,0,0,0,0,0
1331,2013-01-02,1977,Gen X,36,Bachelor,Single,35790.0,1,0,54,12,6,20,30,1,3,72,7,2,0,3,2,0,0,0,0,0,0,0
2225,2014-06-07,1977,Gen X,37,Bachelor,Divorced,82582.0,0,0,54,510,120,550,156,40,241,1617,1,4,9,7,1,1,0,1,0,0,0,1
9381,2013-06-12,1978,Gen X,35,Bachelor,Married,66373.0,1,1,57,328,9,124,12,24,109,606,3,4,2,10,7,0,0,0,0,0,0,0
6260,2012-11-19,1955,Baby Boomer,57,Master,Together,82384.0,0,0,55,984,51,432,180,120,190,1957,1,3,10,13,1,0,0,0,0,1,0,1
10383,2013-04-02,1966,Gen X,47,Bachelor,Divorced,70287.0,0,0,30,295,35,482,121,120,40,1093,3,5,5,10,1,0,0,0,0,0,0,1
7437,2014-04-28,1988,Millenials,26,Bachelor,Single,27938.0,1,0,31,13,0,8,2,1,5,29,3,1,0,4,1,0,0,0,0,0,0,0
8375,2014-03-03,1968,Gen X,46,PhD,Married,55954.0,0,1,63,447,0,28,0,0,43,518,7,8,2,6,3,0,0,0,0,0,0,0
6853,2013-07-04,1982,Millenials,31,Master,Single,75777.0,0,0,12,712,26,538,69,13,80,1438,1,3,6,11,1,0,0,0,1,1,0,1
3076,2012-09-07,1975,Gen X,37,Bachelor,Together,66653.0,1,1,18,452,18,102,16,18,6,612,3,4,2,12,4,0,0,0,0,0,0,0
1012,2013-02-18,1952,Baby Boomer,61,Bachelor,Single,61823.0,0,1,26,523,7,134,37,14,169,884,7,8,2,10,4,0,0,0,0,0,0,0
6518,2013-06-11,1951,Baby Boomer,62,PhD,Widow,67680.0,0,1,8,546,0,48,0,6,6,606,5,7,3,8,1,0,0,0,0,0,0,0
4137,2013-12-06,1948,Baby Boomer,65,Bachelor,Together,70666.0,0,0,29,398,40,367,119,122,30,1076,4,7,4,4,1,0,0,0,0,0,0,0
8082,2013-05-21,1971,Gen X,42,Bachelor,Married,25721.0,1,0,75,1,3,6,3,6,15,34,7,1,1,2,1,0,0,0,0,0,0,1
1386,2014-05-11,1967,Gen X,47,Bachelor,Together,32474.0,1,1,0,10,0,1,0,0,0,11,7,1,0,2,1,0,0,0,0,0,0,0
9369,2014-03-19,1979,Gen X,35,Master,Single,88194.0,0,1,19,688,14,309,201,24,38,1274,5,11,10,10,1,1,0,1,0,0,0,1
4477,2013-09-27,1958,Baby Boomer,55,Bachelor,Together,69096.0,0,1,4,247,49,159,7,82,109,653,4,5,2,10,1,0,0,0,0,0,0,0
1357,2013-04-08,1970,Gen X,43,Bachelor,Together,74854.0,1,2,90,856,59,487,58,29,73,1562,5,2,5,5,7,0,0,0,0,0,0,0
1402,2012-09-11,1954,Baby Boomer,58,Master,Married,66991.0,0,0,1,496,36,460,189,60,12,1253,3,4,8,6,3,0,0,0,0,0,0,0
6312,2013-03-17,1959,Baby Boomer,54,Bachelor,Married,65031.0,0,1,29,258,107,291,84,37,86,863,7,10,3,13,4,0,0,0,0,0,0,0
8132,2013-04-05,1975,Gen X,38,PhD,Married,60631.0,1,1,88,565,6,65,0,6,19,661,7,9,2,8,5,0,0,0,1,0,0,0
1050,2014-04-30,1952,Baby Boomer,62,Bachelor,Married,28332.0,0,0,58,14,10,13,4,15,9,65,2,2,1,4,1,0,0,0,0,0,0,0
5846,2012-12-19,1977,Gen X,35,Bachelor,Divorced,40246.0,1,0,68,2,1,6,2,1,1,13,6,1,0,2,1,0,0,0,0,0,0,0
1859,2012-08-27,1972,Gen X,40,Master,Married,75251.0,0,0,34,721,111,925,97,18,18,1890,5,7,6,5,1,0,0,0,0,0,0,1
7503,2012-10-12,1976,Gen X,36,Bachelor,Single,75825.0,0,0,40,1032,105,779,137,105,51,2209,4,5,8,9,0,0,0,1,0,0,0,1
10401,2013-09-04,1976,Gen X,37,Master,Together,26326.0,0,0,12,1,0,5,0,3,9,18,3,0,0,3,1,0,0,0,0,0,1,0
1618,2013-01-02,1965,Gen X,48,Bachelor,Together,56046.0,0,0,9,577,0,64,0,0,51,692,8,10,1,8,2,0,0,1,0,0,0,1
3332,2012-08-29,1985,Millenials,27,Bachelor,Single,29760.0,1,0,87,64,4,68,7,5,17,165,8,3,1,4,4,0,0,0,0,0,0,0
2261,2013-06-23,1969,Gen X,44,Bachelor,Married,26304.0,1,0,5,4,1,5,2,0,4,16,7,1,0,2,1,0,0,0,0,0,0,0
5346,2013-07-03,1973,Gen X,40,Master,Married,23559.0,1,0,87,25,5,19,7,0,23,79,7,3,0,3,3,0,0,0,0,0,0,0
535,2014-02-25,1987,Millenials,27,Bachelor,Divorced,81361.0,0,0,18,163,23,424,27,65,76,778,1,3,10,13,1,0,0,0,0,0,0,0
5268,2013-08-11,1960,Baby Boomer,53,Bachelor,Married,29440.0,1,1,95,17,8,14,10,4,3,56,7,1,0,4,2,0,0,0,0,0,0,0
273,2013-07-16,1970,Gen X,43,Master,Married,36138.0,1,1,48,130,0,16,0,0,5,151,7,3,1,4,5,0,0,0,1,0,0,0
4452,2014-05-28,1957,Baby Boomer,57,Bachelor,Single,50388.0,0,1,3,292,6,37,0,3,34,372,7,6,1,6,4,1,0,0,1,0,0,1
8504,2014-05-12,1973,Gen X,41,Bachelor,Married,79593.0,0,0,70,350,60,568,110,133,145,1366,2,5,6,7,1,0,0,0,0,1,0,0
771,2014-01-21,1967,Gen X,47,Bachelor,Together,54178.0,0,1,79,135,9,39,4,0,7,194,2,2,2,5,1,0,0,0,0,0,0,0
11178,2014-03-23,1972,Gen X,42,Master,Single,42394.0,1,0,69,15,2,10,0,1,4,32,7,1,0,3,1,0,0,0,0,0,0,0
2230,2014-05-24,1970,Gen X,44,PhD,Married,23626.0,1,0,84,27,2,14,0,0,0,43,5,3,1,3,3,0,0,0,0,0,0,0
7516,2014-05-22,1983,Millenials,31,Bachelor,Married,30096.0,1,0,30,5,3,11,12,5,9,45,6,2,0,3,1,0,0,0,0,0,0,0
7247,2012-11-22,1960,Baby Boomer,52,Bachelor,Widow,47916.0,0,1,72,505,0,26,0,0,75,606,6,7,4,6,5,0,0,0,1,0,0,0
11100,2013-04-11,1972,Gen X,41,Bachelor,Divorced,51813.0,1,1,37,51,2,7,0,1,2,63,7,2,0,3,2,0,0,0,0,0,0,0
4646,2013-12-01,1951,Baby Boomer,62,Master,Married,78497.0,0,0,44,207,26,447,75,0,223,978,2,5,7,12,1,1,0,0,0,0,0,0
3037,2013-06-20,1983,Millenials,30,PhD,Married,50150.0,0,0,32,135,46,92,65,61,11,410,5,5,2,7,2,0,0,0,0,0,0,0
1473,2013-07-23,1960,Baby Boomer,53,Master,Single,47823.0,0,1,0,53,1,5,2,1,10,72,8,2,0,3,2,0,0,0,0,0,0,0
1016,2014-03-30,1959,Baby Boomer,55,PhD,Single,34554.0,0,1,43,41,1,6,2,0,5,55,6,2,0,3,2,0,0,0,0,0,0,0
4518,2013-04-20,1979,Gen X,34,Bachelor,Together,85693.0,0,1,59,386,172,183,185,132,111,1169,5,9,5,11,2,0,0,0,0,0,0,0
9370,2013-05-17,1945,Silent Gen,68,PhD,Married,65846.0,0,0,68,562,81,276,80,40,81,1120,4,6,3,6,1,0,0,0,0,0,0,0
8908,2014-05-08,1959,Baby Boomer,55,Bachelor,Married,87195.0,0,0,35,217,76,690,50,26,38,1097,1,3,11,5,1,0,0,0,0,0,0,1
8373,2013-12-10,1979,Gen X,34,Basic,Together,24594.0,1,0,94,1,3,6,10,0,9,29,5,1,0,3,1,0,0,0,0,0,0,0
7533,2013-09-24,1964,Baby Boomer,49,Bachelor,Married,49096.0,1,1,15,144,1,32,2,1,7,187,7,4,1,4,4,0,0,0,0,0,0,0
2683,2013-02-02,1969,Gen X,44,Bachelor,Married,52413.0,0,2,56,295,106,271,75,98,65,910,6,6,4,12,4,0,0,0,0,0,0,0
3629,2012-12-19,1978,Gen X,34,Bachelor,Single,38557.0,1,0,17,76,3,31,4,4,27,145,7,3,1,3,2,0,0,0,0,0,0,0
10991,2012-12-07,1960,Baby Boomer,52,Master,Married,89058.0,0,0,18,454,194,106,31,22,43,850,2,5,4,4,1,0,0,0,0,0,0,0
5077,2013-11-02,1979,Gen X,34,Bachelor,Together,77298.0,0,1,46,425,115,292,23,35,79,969,3,6,6,11,1,0,0,0,0,0,0,0
7431,2012-11-10,1991,Millenials,21,PhD,Single,68126.0,0,0,40,1332,17,311,23,51,86,1820,9,7,4,5,1,0,0,0,1,0,0,1
3267,2014-06-25,1963,Baby Boomer,51,Master,Together,57288.0,0,1,27,527,0,21,0,0,60,608,6,8,1,8,3,0,0,0,1,0,0,0
999,2013-01-02,1991,Millenials,22,Bachelor,Single,86037.0,0,0,95,490,44,125,29,20,22,730,3,6,7,11,1,0,0,0,1,1,0,1
9215,2012-12-12,1980,Gen X,32,PhD,Married,43974.0,1,0,19,378,0,101,0,0,72,551,7,6,4,6,5,0,0,0,0,0,0,0
2286,2013-09-10,1962,Baby Boomer,51,Bachelor,Single,50785.0,1,1,27,64,1,21,0,1,27,114,6,2,1,3,2,0,0,0,0,0,0,0
1592,2014-01-24,1970,Gen X,44,Bachelor,Married,90765.0,0,0,25,547,99,812,151,82,33,1724,1,4,6,5,0,1,0,0,0,1,0,0
367,2013-02-19,1978,Gen X,35,Master,Married,36550.0,1,0,74,47,90,94,123,103,120,577,9,9,1,5,5,0,0,0,0,0,0,0
5234,2013-07-11,1967,Gen X,46,Master,Together,30753.0,1,1,85,12,5,25,0,9,30,81,5,1,1,3,2,0,0,0,0,0,0,0
9862,2013-11-14,1969,Gen X,44,Bachelor,Together,21918.0,1,0,37,1,6,7,11,5,3,33,6,2,0,3,2,0,0,0,0,0,0,0
9805,2013-06-20,1953,Baby Boomer,60,Master,Together,56129.0,0,1,65,320,48,133,39,72,48,660,4,6,2,10,4,0,0,0,0,0,0,0
6205,2014-02-24,1967,Gen X,47,Master,Single,32557.0,1,0,13,34,3,29,0,4,10,80,5,2,1,3,3,0,0,0,0,0,0,1
8442,2013-09-04,1985,Millenials,28,Master,Married,19510.0,2,0,63,9,0,7,3,4,7,30,7,1,0,3,2,0,0,0,0,0,0,0
7386,2013-04-22,1976,Gen X,37,Bachelor,Divorced,30992.0,1,0,83,17,0,14,7,3,2,43,7,1,0,3,1,0,0,0,0,0,0,0
7215,2013-03-12,1983,Millenials,30,Bachelor,Single,101970.0,0,0,69,722,27,102,44,72,168,1135,2,6,8,13,0,1,0,0,1,1,0,1
1491,2013-02-18,1965,Gen X,48,Master,Together,71488.0,0,0,87,162,33,124,40,28,172,559,1,3,4,7,2,0,0,0,0,0,0,0
11071,2013-04-21,1984,Millenials,29,Bachelor,Single,79607.0,0,0,37,450,133,951,173,0,216,1923,1,3,6,6,1,0,0,0,0,0,0,1
3381,2014-06-08,1953,Baby Boomer,61,Master,Married,54348.0,1,1,51,70,0,16,0,0,4,90,6,2,0,4,2,0,0,0,0,0,0,0
11051,2014-05-10,1956,Baby Boomer,58,PhD,Together,77376.0,1,1,72,492,19,110,16,12,12,661,4,6,3,10,4,0,0,0,0,0,0,0
8026,2013-09-30,1952,Baby Boomer,61,Bachelor,Married,62998.0,0,1,10,120,58,73,65,89,58,463,5,5,4,5,5,0,0,0,0,0,0,0
433,2013-03-10,1958,Baby Boomer,55,Master,Single,61331.0,1,1,42,534,5,47,0,5,41,632,8,11,1,6,5,0,0,0,0,0,0,0
9597,2014-02-10,1969,Gen X,45,Bachelor,Married,73448.0,0,0,10,236,106,189,23,41,130,725,4,7,2,9,1,0,0,0,0,0,0,0
5290,2013-08-14,1964,Baby Boomer,49,PhD,Married,41551.0,1,1,51,220,0,33,3,0,23,279,8,5,1,5,5,0,0,0,0,0,0,0
1685,2013-03-17,1967,Gen X,46,PhD,Together,62981.0,0,0,21,796,14,590,38,44,0,1482,3,4,5,13,1,0,0,0,1,0,0,0
5342,2012-08-08,1976,Gen X,36,Basic,Divorced,9548.0,1,0,31,0,1,3,10,6,9,29,8,1,0,3,2,0,0,0,0,0,0,0
9579,2013-07-07,1959,Baby Boomer,54,PhD,Married,33762.0,2,1,61,53,1,34,2,0,16,106,8,2,2,2,3,0,0,0,0,0,0,0
7660,2014-05-19,1973,Gen X,41,PhD,Single,35860.0,1,1,37,15,0,8,4,2,20,49,5,1,1,2,2,0,0,1,0,0,0,1
1461,2013-07-28,1965,Gen X,48,PhD,Divorced,36921.0,1,1,74,17,1,12,3,1,4,38,7,2,0,3,2,0,0,0,0,0,0,0
821,2012-10-19,1992,Millenials,20,Master,Single,92859.0,0,0,46,962,61,921,52,61,20,2077,2,5,4,12,1,0,0,0,0,0,0,0
11084,2013-11-14,1976,Gen X,37,Master,Together,65104.0,0,1,4,738,0,232,13,20,50,1053,7,3,5,7,2,0,0,0,0,0,0,1
8690,2013-04-19,1962,Baby Boomer,51,Bachelor,Married,86111.0,0,0,73,399,28,756,36,40,126,1385,2,5,7,10,1,0,0,0,0,0,0,0
2937,2013-08-28,1974,Gen X,39,PhD,Single,68352.0,0,1,47,614,16,132,43,33,33,871,6,8,5,9,3,0,0,0,0,0,0,0
9701,2013-03-19,1988,Millenials,25,Bachelor,Together,41883.0,1,0,13,32,34,41,73,16,116,312,7,4,2,3,3,0,0,0,0,0,0,0
9949,2012-10-18,1976,Gen X,36,Bachelor,Married,59809.0,0,2,36,598,16,141,32,41,49,877,8,3,3,6,3,0,0,0,0,0,0,0
10837,2012-10-28,1975,Gen X,37,Bachelor,Married,23957.0,1,0,47,2,1,18,20,11,16,68,6,2,0,3,1,0,0,0,0,0,0,1
3120,2013-08-28,1981,Millenials,32,Bachelor,Together,38547.0,1,0,49,6,1,10,0,1,4,22,8,1,0,2,1,0,0,0,0,0,1,0
5885,2012-08-22,1973,Gen X,39,Master,Married,35688.0,2,1,94,73,3,90,12,1,32,211,8,4,1,4,7,0,0,0,0,0,0,0
4050,2014-06-21,1966,Gen X,48,Master,Married,49605.0,0,0,65,42,16,29,12,20,8,127,3,2,1,4,1,0,0,0,0,0,0,0
3830,2014-04-24,1953,Baby Boomer,61,Master,Married,59354.0,0,2,59,295,21,78,39,13,13,459,3,4,4,7,1,0,0,0,0,0,0,0
7987,2014-03-07,1969,Gen X,45,Bachelor,Married,65747.0,0,1,96,346,17,48,23,13,13,460,6,8,1,6,4,0,0,0,1,0,0,0
7798,2012-12-14,1972,Gen X,40,Master,Together,46344.0,0,1,28,233,20,57,8,20,91,429,7,7,1,5,4,0,0,0,0,0,0,0
92,2014-05-12,1988,Millenials,26,Bachelor,Single,34176.0,1,0,12,5,7,24,19,14,20,89,6,3,0,4,4,0,0,0,0,0,0,0
7055,2012-10-09,1952,Baby Boomer,60,PhD,Together,61010.0,0,1,57,888,0,57,0,0,76,1021,5,8,5,11,2,0,0,0,0,0,0,0
10240,2013-02-19,1949,Baby Boomer,64,Bachelor,Together,69372.0,0,0,10,997,26,269,34,13,42,1381,4,10,4,6,1,0,0,0,1,1,0,1
3025,2013-07-08,1958,Baby Boomer,55,Bachelor,Single,49967.0,0,1,4,212,6,69,4,12,3,306,7,6,1,5,3,0,0,0,0,0,0,0
9283,2013-09-12,1978,Gen X,35,Bachelor,Single,60199.0,1,2,49,8,1,7,2,0,0,18,4,0,0,3,1,0,0,0,0,0,0,0
9970,2013-10-17,1977,Gen X,36,Bachelor,Together,55375.0,0,1,3,42,11,57,10,28,14,162,2,1,1,6,1,0,0,0,0,0,0,0
2730,2013-08-20,1955,Baby Boomer,58,Bachelor,Single,80317.0,0,0,64,536,11,387,149,91,57,1231,1,3,4,10,1,0,0,0,0,0,0,0
2795,2013-07-01,1958,Baby Boomer,55,Master,Single,30523.0,2,1,0,5,0,3,0,0,5,13,7,1,0,2,1,0,0,0,0,0,0,0
9260,2012-11-05,1945,Silent Gen,67,PhD,Married,70356.0,0,0,20,1349,16,249,43,16,33,1706,6,10,6,9,2,0,0,0,0,0,0,0
8182,2014-01-05,1984,Millenials,30,Bachelor,Married,23228.0,1,0,91,53,3,49,7,4,5,121,8,3,0,4,4,0,0,0,0,0,0,0
10095,2013-05-01,1975,Gen X,38,PhD,Divorced,74165.0,0,0,9,1001,12,240,16,12,12,1293,2,5,4,10,1,0,0,0,0,0,0,0
4370,2013-11-13,1966,Gen X,47,Bachelor,Together,43482.0,2,1,83,18,1,32,6,3,28,88,6,2,0,4,3,0,0,0,0,0,0,0
10573,2013-11-18,1953,Baby Boomer,60,Bachelor,Divorced,62551.0,0,0,27,125,16,98,134,21,27,421,3,6,7,4,1,0,0,1,0,0,0,0
3712,2013-08-28,1959,Baby Boomer,54,Bachelor,Divorced,52332.0,0,0,63,212,5,33,7,0,2,259,4,3,2,6,1,0,0,0,1,0,0,0
6637,2013-11-02,1988,Millenials,25,Bachelor,Single,66951.0,0,0,46,277,162,305,173,76,124,1117,1,3,4,7,1,0,0,0,0,0,0,0
3152,2014-02-25,1957,Baby Boomer,57,Bachelor,Together,26091.0,1,1,84,15,10,19,8,17,20,89,5,2,1,3,3,0,0,0,0,0,0,0
5610,2014-04-21,1965,Gen X,49,Bachelor,Together,33456.0,1,1,58,7,3,10,8,1,7,36,7,1,0,3,2,0,0,0,0,0,0,0
6460,2013-07-13,1982,Millenials,31,Bachelor,Married,28718.0,1,0,78,12,4,6,11,8,16,57,8,2,0,3,2,0,0,0,0,0,0,0
1349,2014-04-21,1970,Gen X,44,Bachelor,Married,50447.0,2,0,4,85,7,24,2,3,27,148,6,3,1,3,1,0,0,0,0,0,0,0
1880,2014-01-30,1959,Baby Boomer,55,PhD,Together,53537.0,1,1,17,81,0,6,0,0,6,93,5,2,1,3,2,0,0,0,0,0,0,0
641,2014-04-04,1967,Gen X,47,Bachelor,Single,52074.0,0,1,77,59,0,12,0,0,48,119,4,2,2,2,1,0,0,1,0,0,0,0
8717,2012-09-12,1975,Gen X,37,PhD,Married,80427.0,0,1,56,1149,71,449,69,71,26,1835,5,11,8,8,1,0,0,0,0,0,0,0
10314,2012-12-16,1948,Baby Boomer,64,PhD,Married,83837.0,0,0,79,847,66,119,86,89,111,1318,4,9,10,5,1,1,0,0,1,0,0,1
10854,2014-05-23,1970,Gen X,44,PhD,Married,38853.0,1,1,90,29,0,14,0,0,2,45,7,2,0,3,2,0,0,0,0,0,0,0
10492,2014-06-24,1959,Baby Boomer,55,Bachelor,Together,38285.0,2,1,96,2,0,5,2,0,1,10,2,0,0,3,1,0,0,0,0,0,0,0
7698,2014-05-11,1976,Gen X,38,PhD,Married,51650.0,0,1,81,152,3,22,2,5,7,191,5,4,1,4,1,0,0,0,0,0,0,0
3559,2014-05-10,1988,Millenials,26,Master,Married,16248.0,1,0,77,12,11,10,3,12,9,57,6,2,1,3,3,0,0,0,0,0,0,0
10562,2013-09-28,1946,Baby Boomer,67,Master,Married,66835.0,0,0,21,620,26,195,34,17,141,1033,2,6,4,13,1,0,0,0,0,0,0,0
10796,2014-01-22,1984,Millenials,30,Master,Married,30477.0,1,0,16,47,1,6,0,0,12,66,6,1,1,3,1,0,0,0,0,0,0,0
2563,2014-06-15,1961,Baby Boomer,53,Basic,Married,28249.0,0,0,80,1,9,7,2,14,10,43,6,2,0,3,1,0,0,0,0,0,0,0
3518,2012-12-05,1983,Millenials,29,Bachelor,Married,25271.0,1,0,45,10,1,18,10,4,7,50,9,1,1,2,1,0,0,0,0,0,0,0
5823,2014-03-08,1970,Gen X,44,PhD,Single,32303.0,0,1,63,35,0,2,0,0,2,39,5,1,0,4,2,0,0,0,0,0,0,0
3934,2013-08-02,1966,Gen X,47,Bachelor,Married,61286.0,0,1,34,356,0,107,19,9,117,608,5,7,1,8,2,0,0,0,0,0,0,0
